CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,NAICS_CODE,WORKERS_REQUESTED,WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,OVERTIME_PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION
H-400-17005-826663,2-Mar-17,H-2B,5-Jan-17,Certification,1-Apr-17,7-Nov-17,Marginal way House Inc.,22 Wharf Lane,,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,4,4,Y,Seasonal,$10.24 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-16319-527489,23-Mar-17,H-2B,7-Jan-17,Certification,4-Apr-17,8-Nov-17,THE BEACHMERE INN,62 Beachmere Place,N/a,Ogunquit,ME,3907,United States Of America,N/A,207-646-2021,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Housekeeper,37-2012.00,Maids And Housekeeping Cleaners,722110,14,14,Y,Peakload,$10.24 ,Hour,15.36,,,N,,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,Y
H-400-17007-910571,14-Mar-17,H-2B,7-Jan-17,Certification,1-Apr-17,10-Nov-17,BUFFLEHEAD COVE INN,20 Bufflehead Lane,N/a,Kennebunkport,ME,4046,United States Of America,N/A,207-967-3879,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,2,2,Y,Seasonal,$10.10 ,Hour,15.15,15.15,,N,,None,N/A,N/A,N,,N,,,Y,1,KENNEBUNKPORT,ME,4046,N
H-400-17007-037204,30-Mar-17,H-2B,7-Jan-17,Certification,3-Apr-17,3-Dec-17,THE BEACHMERE INN,62 Beachmere Place,N/a,Ogunquit,ME,3907,United States Of America,N/A,207-646-2021,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Short Order Cook,35-2015,"Cooks, Short Order",722110,1,1,Y,Peakload,$10.55 ,Hour,15.83,0,,N,,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,Y
H-400-17008-618758,14-Mar-17,H-2B,8-Jan-17,Certification,1-Apr-17,30-Nov-17,NEW GEN  TECHNOLOGIES & MANAGEMENT INC,675 Main Street,,South Portland,ME,04106-0000,United States Of America,CUMBERLAND,207-775-5343,,Hem International Services,Michele Mccarthy,Jamaica,NY,Housekeepers,37-2012,Maids And Housekeeping Cleaners,721191,20,20,Y,Seasonal,$10.07 ,Hour,15.11,15.11,,N,,None,NONE,NONE,N,,N,,,Y,3,SOUTH PORTLAND,ME,04106-0000,N
H-400-17009-103166,9-Mar-17,H-2B,9-Jan-17,Certification,1-Apr-17,10-Dec-17,NEW GEN  HOTELS GROUP LLC,90 Maine Mall Road,,South Portland,ME,04106-0000,United States Of America,CUMBERLAND,207-775-0409,,Hem International Services,Michele Mccarthy,Jamaica,NY,Housekeepers,37-2012,Maids And Housekeeping Cleaners,721191,10,10,Y,Seasonal,$10.07 ,Hour,15.11,15.11,,N,,None,NONE,NONE,N,,N,,,Y,3,SOUTH PORTLAND,ME,04106-0000,N
H-400-17009-059607,9-Mar-17,H-2B,9-Jan-17,Certification,1-Apr-17,15-Dec-17,STONEY BROOK LANDSCAPING LLC,Po Box 116,1680 Us Route 1,York Harbor,ME,3911,United States Of America,N/A,207-351-8007,,U.S. Americans Inc,John Gismondi,Westbury,NY,Landscape Laborer,37-3011,Landscaping And Groundskeeping Workers,332212,6,6,Y,Seasonal,$13.90 ,Hour,20.85,20.85,,N,,None,N/A,NONE,N,,N,,,N,,YORK HARBOR,ME,3911,Y
H-400-17010-539557,16-Mar-17,H-2B,10-Jan-17,Certification,1-Apr-17,15-Nov-17,THE FRONT PORCH RESTAURANT INC,9 Shore Road,,Ogunquit,ME,03907-0000,United States Of America,YORK,917-685-7958,,Hem International Services,Michele Mccarthy,Jamaica,NY,Dining Room Attendants,35-9011,Dining Room And Cafeteria Attendants And Bartender,722110,7,7,Y,Seasonal,$9.78 ,Hour,14.67,14.67,,N,,None,NONE,NONE,N,,N,,,Y,3,OGUNQUIT,ME,03907-0000,N
H-400-17002-177217,13-Mar-17,H-2B,11-Jan-17,Certification,1-Apr-17,1-Nov-17,OCEAN POINT INN,191 Shore Road,N/a,East Boothbay,ME,4544,United States Of America,N/A,207-633-4200,,"Antioch Associates Usa Ii, Inc.",Mark Carchidi,Yarmouth Port,MA,Front Desk Clerks,43-4081,"Hotel, Motel, And Resort Desk Clerks",721110,4,4,Y,Seasonal,$13.30 ,Hour,19.95,,,N,,None,N/A,N/A,N,,N,,,N,,EAST BOOTHBAY,ME,4544,N
H-400-17010-400954,17-Mar-17,H-2B,11-Jan-17,Certification,1-Apr-17,7-Dec-17,"MISTY HARBOR, INC.",60 Mile Road,733 Post Road,Wells,ME,4090,United States Of America,N/A,207-646-8373,,"Antioch Associates Usa Ii, Inc.",Mark Carchidi,Yarmouth Port,MA,Housekeepers,37-2012,Maids And Housekeeping Cleaners,721110,13,13,Y,Peakload,$10.24 ,Hour,15.36,,,N,,None,N/A,N/A,N,,N,,,N,,WELLS,ME,4090,Y
H-400-17012-669524,15-Mar-17,H-2B,12-Jan-17,Certification,1-Apr-17,31-Dec-17,"JONATHAN'S, INC.",92 Bourne Lane,,Ogunquit,ME,3907,United States Of America,,207-646-4777,,"Martinez & Sordo, P.A.",Emilio Martinez,Miami,FL,Dining Room Attendants,35-9011,Dining Room And Cafeteria Attendants And Bartender,722110,4,4,Y,Seasonal,$9.78 ,Hour,14.67,,,N,,None,,,N,,N,,,Y,1,OGUNQUIT,ME,3907,N
H-400-17012-687810,20-Mar-17,H-2B,12-Jan-17,Certification,1-Apr-17,31-Dec-17,"JONATHAN'S, INC.",92 Bourne Lane,,Ogunquit,ME,3907,United States Of America,,207-646-4777,,"Martinez & Sordo, P.A.",Emilio Martinez,Miami,FL,Line Cook,35-2014,"Cooks, Restaurant",722110,4,4,Y,Seasonal,$12.50 ,Hour,18.75,,,N,,None,,,N,,N,,,Y,6,OGUNQUIT,ME,3907,N
H-400-17012-045810,27-Mar-17,H-2B,12-Jan-17,Certification,1-Apr-17,31-Oct-17,To The Moon LLC,109 Cottage Street,,Bar Harbor,ME,4609,United States Of America,,207-288-5811,,Law Office Of Michele Contreras,Michele Contreras,Cherry Hill,NJ,Housekeeper/front Desk Clerk,37-2012,Maids And Housekeeping Cleaners,72112,4,4,Y,Peakload,$10.28 ,Hour,15.42,,,N,,None,,,N,,N,,,Y,6,Bar Habor,ME,4609,N
H-400-17013-896330,29-Mar-17,H-2B,13-Jan-17,Certification,10-Apr-17,31-Oct-17,Colonial Inn Operations LLC,P.O Box 2456,145 Shore Road,Ogunquit,ME,3907,United States Of America,,207-646-5191,,Peak Season Workforce,Katherine Bishop,Glen Allen,VA,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,10,10,Y,Seasonal,$10.24 ,Hour,15.36,,,N,,None,,,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16319-143426,30-Mar-17,H-2B,15-Jan-17,Certification,15-Apr-17,15-Nov-17,HARRIS ISLAND CORPORATION,22 Harris Island Road,,York,ME,3909,United States Of America,N/A,207-363-2868,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Housekeeper,51-6011,Laundry And Dry-cleaning Workers,721191,5,5,Y,Seasonal,$10.60 ,Hour,15.9,,,N,,None,N/A,N/A,N,,N,,,Y,3,YORK,ME,3909,N
H-400-17016-104165,31-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,15-Nov-17,Kennebunkport Resort Collection,2 Livewell Dr,Suite 203,Kennebunk,ME,4043,United States Of America,,207-967-1501,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Cook,35-2014,"Cooks, Restaurant",721110,41,41,Y,Peakload,$11.96 ,Hour,,,,N,,None,,,N,,N,,,Y,1,KENNEBUNKPORT,ME,4046,Y
H-400-17016-187947,30-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,15-Nov-17,Kennebunkport Resort Collection,2 Livewell Dr,Suite 203,Kennebunk,ME,4043,United States Of America,,207-967-1501,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,53,53,Y,Peakload,$10.07 ,Hour,,,,N,,None,,,N,,N,,,Y,1,KENNEBUNKPORT,ME,4046,Y
H-400-17016-635980,29-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,31-Oct-17,VILLAGE FOOD MARKET INC,230 Main Street,,Ogunquit,ME,3907,United States Of America,,207-646-2122,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Dishwasher,35-9021,Dishwashers,4451,3,3,Y,Peakload,$9.29 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17016-546487,29-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,31-Oct-17,NATIVE GROUNDS INC,228 Main St,,Ogunquit,ME,3907,United States Of America,,207-646-4118,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Short Order Cook,35-2015,"Cooks, Short Order",722110,4,4,Y,Peakload,$10.55 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17016-393927,29-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,1-Nov-17,"SACO NO.1, LLC",48 Industrial Park Road,,Saco,ME,4072,United States Of America,,207-282-7222,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,8,8,Y,Peakload,$10.07 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Saco,ME,4072,N
H-400-17016-694829,30-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,31-Oct-17,VILLAGE FOOD MARKET INC,230 Main Street,,Ogunquit,ME,3907,United States Of America,,207-646-2122,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Short Order Cook,35-2015,"Cooks, Short Order",4451,5,5,Y,Peakload,$10.55 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17016-102253,30-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,31-Oct-17,NATIVE GROUNDS INC,228 Main St,,Ogunquit,ME,3907,United States Of America,,207-646-4118,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Dishwasher,35-9021,Dishwashers,722110,4,4,Y,Peakload,$9.29 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17016-543891,31-Mar-17,H-2B,16-Jan-17,Certification,15-Apr-17,15-Nov-17,"SIDE STREET CAFE, INC.",49 Rodick Street,,Bar Harbor,ME,4609,United States Of America,,207-801-2591,,"Global Employment Services, Inc.",Robert Laltoo,North Bay Village,FL,Cook,35-2014,"Cooks, Restaurant",722110,14,14,Y,Peakload,$11.03 ,Hour,,,,N,,None,,,N,,N,,,Y,1,BAR HARBOR,ME,4609,N
H-400-17017-810301,29-Mar-17,H-2B,17-Jan-17,Certification,10-Apr-17,31-Oct-17,CONGDON'S DONUTS,1090 Post Road,,Wells,ME,4090,United States Of America,,207-646-4219,,"Martinez & Sordo, P.A.",Emilio Martinez,Miami,FL,Line Cook,35-2015,"Cooks, Short Order",722511,6,6,Y,Seasonal,$10.87 ,Hour,16.31,,,N,,None,,,N,,N,,,N,,Wells,ME,4090,N
H-400-16318-583992,31-Mar-17,H-2B,20-Jan-17,Certification,15-Apr-17,15-Oct-17,"CAFFE PREGO, LLC",P.O. Box 2026,44 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-646-7734,,Peak Season Workforce,Joe Bishop,Glen Allen,VA,Cooks,35-2014,"Cooks, Restaurant",722110,10,10,Y,Seasonal,$12.50 ,Hour,18.75,,,N,,None,N/A,N/A,N,,N,,,Y,6,OGUNQUIT,ME,3907,N
H-400-17019-167131,30-Mar-17,H-2B,20-Jan-17,Certification,15-Apr-17,14-Jan-18,BREDA LLC,83 Bayview Street,,Camden,ME,4843,United States Of America,,207-236-4200,,"Martinez And Sordo, P.A.",Emilio Martinez,Miami,FL,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,4,4,Y,Seasonal,$10.24 ,Hour,15.36,,,N,,None,,,N,,N,,,Y,3,CAMDEN,ME,4843,N
H-400-17019-852238,30-Mar-17,H-2B,20-Jan-17,Certification,15-Apr-17,14-Jan-18,TEMPO DULU LLC,163 Danforth St,,Portland,ME,4102,United States Of America,,207-879-8755,,"Martinez And Sordo, P.A.",Emilio Martinez,Miami,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721191,4,4,Y,Seasonal,$10.10 ,Hour,15.15,,,N,,None,,,N,,N,,,Y,3,Portland,ME,4102,N
H-400-17019-511434,30-Mar-17,H-2B,20-Jan-17,Certification,15-Apr-17,14-Jan-18,TEMPO DULU LLC,163 Danforth St,,Portland,ME,4102,United States Of America,,207-879-8755,,"Martinez And Sordo, P.A.",Emilio Martinez,Miami,FL,Cook,35-2014,"Cooks, Restaurant",721191,3,3,Y,Seasonal,$11.96 ,Hour,17.94,,,N,,None,,,N,,N,,,Y,12,Portland,ME,4102,N
H-400-17019-034845,30-Mar-17,H-2B,20-Jan-17,Certification,15-Apr-17,14-Jan-18,BREDA LLC,83 Bayview Street,,Camden,ME,4843,United States Of America,,207-236-4200,,"Martinez And Sordo, P.A.",Emilio Martinez,Miami,FL,Cook,35-2014,"Cooks, Restaurant",721110,3,3,Y,Seasonal,$12.50 ,Hour,18.75,,,N,,None,,,N,,N,,,Y,12,CAMDEN,ME,4843,N
H-400-16231-332178,6-Oct-16,H-2B,18-Aug-16,Certification Expired,6-Oct-16,30-Dec-16,GARCIA FOREST SERVICE LLC,262 Gaston Mclean Rd,Po Box 789,Rockingham,NC,28379,United States Of America,N/A,910-997-5011,,,,,,Forestry Worker,45-4011,Forest And Conservation Workers,115310,60,60,Y,Seasonal,$14.36 ,Hour,21.54,,,N,,None,,,N,,N,,,Y,3,Columbia Falls,ME,4623,N
H-400-16318-015828,17-Feb-17,H-2B,1-Jan-17,Denied,1-Apr-17,15-Oct-17,"LAFAYETTE WELLS, INC.",P.O. Box 639,393 Mile Road,Wells,ME,4090,United States Of America,N/A,207-646-2831,,Peak Season Workforce,Joseph Bishop,Glen Allen,MA,Cooks,35-2014,"Cooks, Restaurant",721110,10,,Y,Peakload,$12.50 ,Hour,18.75,,,N,,None,N/A,N/A,N,,N,,,Y,12,WELLS,ME,4090,N
H-400-16319-948880,9-Feb-17,H-2B,1-Jan-17,Denied,1-Apr-17,30-Nov-17,"LAFAYETTE WELLS, INC.",P.O. Box 639,393 Mile Road,Wells,ME,4090,United States Of America,N/A,207-646-2831,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Housekeeper,51-6011,Laundry And Dry-cleaning Workers,721110,28,,Y,Peakload,$10.24 ,Hour,15.36,,,Y,10,None,N/A,N/A,N,,N,,,Y,3,WELLS,ME,4090,N
H-400-17009-800106,17-Mar-17,H-2B,9-Jan-17,Denied,1-Apr-17,10-Dec-17,NEW GEN  HOSPITALITY LLC,461 Maine Mall Rd,,South Portland,ME,04106-0000,United States Of America,CUMBERLAND,207-772-3450,500,Hem International Services,Michele Mccarthy,Jamaica,NY,Housekeepers,37-2012,Maids And Housekeeping Cleaners,721191,10,,Y,Seasonal,$10.07 ,Hour,15.11,15.11,,N,,None,NONE,NONE,N,,N,,,Y,3,SOUTH PORTLAND,ME,04106-0000,N
H-400-16208-961245,25-Jan-17,H-2B,1-Jan-17,Partial Certification,1-Apr-17,14-Dec-17,Piscataqua Landscaping and Tree Service,26 Maclellan Lane,,Eliot,ME,3903,United States Of America,,207-439-2241,,Federation Of Employers And Workers Of America,Robin Svec,Bay City,TX,Landscape Laborer,47-4091,Segmental Pavers,561730,25,23,Y,Peakload,$15.30 ,Hour,22.95,,,N,,None,,,N,,N,,,N,,Eliot,ME,3903,Y
H-400-16361-582870,16-Feb-17,H-2B,1-Jan-17,Partial Certification,1-Apr-17,14-Nov-17,Sun'n Surf of York Inc,Po Box 1329,265 Long Beach Ave,York Beach,ME,3910,United States Of America,,207-363-5112,528,,,,,Cook,35-2011,"Cooks, Fast Food",722211,30,29,Y,Seasonal,$11.68 ,Hour,17.52,,,N,,None,,,N,,N,,,Y,1,york beach,ME,3910,N
H-400-17002-615080,1-Mar-17,H-2B,2-Jan-17,Partial Certification,1-Apr-17,31-Oct-17,Northwoods Forestry Inc.,W1224 County Road Fw,,Eleva,WI,54738,United States Of America,,715-287-3548,,Labor Consultants International,Nicole Ward,Coeur D'alene,ID,Forestry Worker,45-4011,Forest And Conservation Workers,115310,157,154,Y,Seasonal,$14.36 ,Hour,21.54,,,N,,None,n/a,,N,,N,,,N,,Jackman,ME,4945,Y
H-400-17013-292134,28-Mar-17,H-2B,13-Jan-17,Partial Certification,10-Apr-17,31-Oct-17,Colonial Inn Operations LLC,P.O Box 2456,145 Shore Road,Ogunquit,ME,3907,United States Of America,,207-646-5191,,Peak Season Workforce,Katherine Bishop,Glen Allen,VA,Front Desk Clerk,43-4081,"Hotel, Motel, And Resort Desk Clerks",721110,4,2,Y,Seasonal,$13.30 ,Hour,19.95,,,N,,None,,,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16344-738045,28-Dec-16,H-2B,9-Dec-16,Withdrawn,1-Mar-17,1-Dec-17,CRUSTY CRAB LLC,37 Front St,N/a,Belfast,ME,4915,United States Of America,N/A,207-338-8900,,,,,,Cooks,35-2014,"Cooks, Restaurant",7221,2,,Y,Seasonal,$12.50 ,Hour,0,0,,N,,None,N/A,N/A,N,,N,,,Y,6,Belfast,ME,4915,N
H-400-16336-577885,24-Feb-17,H-2B,2-Jan-17,Withdrawn,1-Apr-17,1-Nov-17,ANCHORAGE MOTOR INNS OF YORK INC,Po Box 1329,265 Long Beach Ave,York Beach,ME,3910,United States Of America,,207-363-5112,528,,,,,Cafe Associate,35-3021,"Combined Food Preparation And Serving Workers,",721110,8,,Y,Seasonal,$9.09 ,Hour,13.64,,,N,,None,,,N,,N,,,Y,1,York Beach,ME,3910,N
H-400-17002-955219,2-Jan-17,H-2B,2-Jan-17,Withdrawn,1-Apr-17,10-Nov-17,The Meadowmere Resort,74 Main Street,Po Box 2347,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,12,,Y,Peakload,$10.24 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17002-489925,2-Jan-17,H-2B,2-Jan-17,Withdrawn,1-Apr-17,10-Nov-17,The Meadowmere Resort,74 Main Street,Po Box 2347,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Short Order Cook,35-2015,"Cooks, Short Order",721110,6,,Y,Peakload,$10.55 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17002-356021,2-Jan-17,H-2B,2-Jan-17,Withdrawn,1-Apr-17,10-Nov-17,The Meadowmere Resort,74 Main Street,Po Box 2347,Ogunquit,ME,3907,United States Of America,,207-646-9661,,"Global Employment Services, Inc",Robert Laltoo,North Bay Village,FL,Front Desk Clerk,43-4081,"Hotel, Motel, And Resort Desk Clerks",721110,2,,Y,Peakload,$13.30 ,Hour,,,,N,,None,,,N,,N,,,Y,1,Ogunquit,ME,3907,N
H-400-17003-450994,28-Feb-17,H-2B,3-Jan-17,Withdrawn,1-Apr-17,15-Dec-17,STEPHEN CARR PROPERTY SERVICES LLC,12 Carwin Drive,N/a,York,ME,3909,United States Of America,N/A,207-451-0156,,U.S. Americans Inc,John Gismondi,Westbury,NY,Landscape Laborer,37-3011,Landscaping And Groundskeeping Workers,332212,2,,Y,Seasonal,$13.90 ,Hour,20.85,20.85,,N,,None,N/A,NONE,N,,N,,,N,,YORK,ME,30909,Y
H-400-17006-240204,15-Mar-17,H-2B,7-Jan-17,Withdrawn,1-Apr-17,20-Oct-17,ROSE COVE LLC,Po Box 442,221 Main Street,Ogunquit,ME,3907,United States Of America,N/A,207-351-7082,,U.S. Americans Inc,John Gismondi,Westbury,NY,"Cooks, Short Order",35-2015,"Cooks, Short Order",722310,5,,Y,Seasonal,$10.55 ,Hour,15.83,15.83,,N,,None,N/A,NONE,N,,N,,,N,,OGUNQUIT,ME,3907,N
H-400-17007-608219,27-Feb-17,H-2B,7-Jan-17,Withdrawn,1-Apr-17,20-Oct-17,ROSE COVE LLC,Po Box 442,221 Main Street,Ogunquit,ME,3907,United States Of America,N/A,207-351-7082,,U.S. Americans Inc,John Gismondi,Westbury,NY,Dining Room Attendants,35-9011,Dining Room And Cafeteria Attendants And Bartender,722310,5,,Y,Seasonal,$9.80 ,Hour,14.7,14.7,,N,,None,N/A,NONE,N,,N,,,N,,OGUNQUIT,ME,3907,N
H-400-17009-342341,30-Mar-17,H-2B,9-Jan-17,Withdrawn,1-Apr-17,31-Oct-17,THE WILD BLUEBERRY CAFE LLC,Po Box 1321,82 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,978-273-4068,,U.S. Americans Inc,John Gismondi,Westbury,NY,Food Preparation Worker,35-2021,Food Preparation Workers,722310,6,,Y,Seasonal,$12.00 ,Hour,18,18,,N,,None,N/A,NONE,N,,N,,,Y,1,OGUNQUIT,ME,3907,N
H-400-16319-737794,13-Mar-17,H-2B,17-Feb-17,Withdrawn,3-May-17,1-Nov-17,"LAFAYETTE BOOTHBAY, INC.",80 Commercial Street,Po Box 267,Boothbay Harbor,ME,4538,United States Of America,N/A,207-633-4434,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Dining Room Attendant,35-9011,Dining Room And Cafeteria Attendants And Bartender,722110,18,,Y,Peakload,$9.78 ,Hour,14.67,,,N,,None,N/A,N/A,N,,N,,,Y,3,BOOTHBAY HARBOR,ME,4538,Y
